Data de emissão	Pedido	Razão social (Nome) - Cliente (Pedido)	Item	Descrição do item	Subgrupo (Código) - Item	Descrição - Família de itens (Item)	Qtde. solicitada	Qtde. cancelada	Qtde. faturada	Valor unitário	Data de previsão de faturamento - Pedido	Impostos dos itens dos pedidos - Valor ICMS destinatário	Valor do ICMS - Impostos dos itens dos pedidos	Valor do PIS - Impostos dos itens dos pedidos	Valor de COFINS - Impostos dos itens dos pedidos	Preço de custo - Item	Custo de matéria-prima - Item	Gastos gerais de fabricação	Custo da mão de obra - Item	Estado (Sigla) - Cliente (Pedido)	Representante - Razão social (Representante)	Cliente - Data de cadastro	Família de clientes
13/02/2026	4554	ASSOCIACAO CONGREGACAO DE SANTA CATARINA	300130.0008	BANCO ONDA E MAD REFL INCO UV GL CT CZ VERNIZ	301	ONDA	3,0000	0,0000	3,0000	4263,1750	20/03/2026	0,00	1534,74	185,70	855,36	0,000000	1418,6699	0,0000	189,0500	SP	VENDEDOR INTERNO - 3	13/02/2026	ESCOLAS/UNIVERSIDADES
13/02/2026	4554	ASSOCIACAO CONGREGACAO DE SANTA CATARINA	100010.0028	BICICLETARIO SPYRA B VD R6027 FOSC MICR	103	SPYRA	4,0000	0,0000	4,0000	2359,1920	20/03/2026	0,00	1189,03	136,09	626,83	0,000000	934,4350	0,0000	0,0000	SP	VENDEDOR INTERNO - 3	13/02/2026	ESCOLAS/UNIVERSIDADES
13/02/2026	4554	ASSOCIACAO CONGREGACAO DE SANTA CATARINA	300127.0012	BANCO ONDA B MAD REFL INCO UV GL CT CZ VERNIZ	301	ONDA	3,0000	0,0000	3,0000	4794,9010	20/03/2026	0,00	1726,16	208,87	962,05	0,000000	1468,2301	0,0000	186,0900	SP	VENDEDOR INTERNO - 3	13/02/2026	ESCOLAS/UNIVERSIDADES
13/02/2026	4555	LUMINA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA	500420.0003	LIXEIRA BOX WOOD 100L COMPARTIMENTO DUPLO GR 7016 FM MAD REFL INCO UV	102	BOX	3,0000	0,0000	3,0000	2555,2826	01/04/2026	402,46	965,90	103,91	478,61	0,000000	0,0000	0,0000	0,0000	SC	VENDEDOR INTERNO - 3	13/02/2026	CONSTRUTORAS/INCORPORADORAS
13/02/2026	4555	LUMINA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA	100025.0005	BICICLETARIO CICLOS LA R2004 FOSC MICR	103	CICLOS	3,0000	0,0000	3,0000	1335,0265	01/04/2026	210,27	504,64	54,29	250,05	0,000000	531,4500	0,0000	0,0000	SC	VENDEDOR INTERNO - 3	13/02/2026	CONSTRUTORAS/INCORPORADORAS
14/02/2026	4558	IMART COMERCIO DE EQUIPAMENTOS PARA VAREJO E ESCRITORIOS LTDA	300198.0002	FLOREIRA ONICE C CT CZ VERNIZ MR 8017 FM	302	ONICE	5,0000	0,0000	5,0000	4866,1415	10/04/2026	0,00	1703,15	373,35	1719,69	0,000000	2495,3760	0,0000	335,1000	GO	O2 - ARQUITETURA E REPRESENTACOES LTDA	22/05/2020	REVENDA DE MÓVEIS CORPORATIVO
14/02/2026	4558	IMART COMERCIO DE EQUIPAMENTOS PARA VAREJO E ESCRITORIOS LTDA	100010.0027	BICICLETARIO SPYRA 6 VD R6018 FOSC MICR	103	SPYRA	1,0000	0,0000	1,0000	1380,1975	10/04/2026	0,00	96,61	21,18	97,55	0,000000	848,5800	0,0000	0,0000	GO	O2 - ARQUITETURA E REPRESENTACOES LTDA	22/05/2020	REVENDA DE MÓVEIS CORPORATIVO
16/02/2026	4559	ASTUN DONZELLI PARTICIPACOES LTDA	200090.0004	BANCO COBRA C - R: 1,5M MR R8017 FOSC MICR MAD REFL CASTA DECK	201	COBRA	6,0000	0,0000	6,0000	2152,8620	08/04/2026	0,00	1600,44	186,73	860,07	0,000000	1148,9700	0,0000	0,0000	SP	ROGER CONTE MOBILIARIO CORPORATIVO	16/02/2026	ARQUITETO/PAISAGISTA/ENGENHEIR
17/02/2026	4562	OMP DO BRASIL	500762.0006	BASE NOVA MESA CONCRETUM CT BC HIDROREP.	500	ITENS ESPECIAIS	1,0000	0,0000	1,0000	219,5630	30/03/2026	0,00	26,35	3,19	14,68	0,000000	96,3109	0,0000	78,4800	RS	METALCO DO BRASIL LTDA	23/11/2015	INDUSTRIA DE MÓVEIS CORPORATIV
19/02/2026	4570	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	300066.0012	BANCO DEMETRA 1800 POWER LIGHT CT BC VERNIZ C/USB	301	DEMETRA	4,0000	0,0000	0,0000	5048,0000	21/05/2026	3046,47	1413,44	255,71	1177,80	0,000000	1141,6778	0,0000	291,0000	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4570	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	300002.0033	BANCO DIAMANTE CURVO CT BC VERNIZ PE C CZ BASALTO R7012	301	DIAMANTE	1,0000	0,0000	0,0000	6500,0000	21/05/2026	980,69	455,00	82,31	379,15	0,000000	1678,7578	0,0000	218,8250	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4570	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	100193.0020	BEBEDOURO FUENTE PT CZ R7012 FOSC MICR C/FILTRO	109	FUENTE	6,0000	0,0000	1,0000	8587,3047	21/05/2026	8162,34	3787,00	642,60	2959,86	0,000000	1303,2000	0,0000	0,0000	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4570	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	300090.0004	BANCO VOLTA TRIANGULO CT BC VERNIZ	301	VOLTA	1,0000	0,0000	0,0000	38196,3800	21/05/2026	5762,88	2673,75	483,71	2227,99	0,000000	6369,5646	0,0000	1279,3450	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4569	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	300002.0033	BANCO DIAMANTE CURVO CT BC VERNIZ PE C CZ BASALTO R7012	301	DIAMANTE	1,0000	0,0000	1,0000	6500,0000	24/04/2026	980,69	455,00	82,31	379,15	0,000000	1678,7578	0,0000	218,8250	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4569	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	100193.0020	BEBEDOURO FUENTE PT CZ R7012 FOSC MICR C/FILTRO	109	FUENTE	22,0000	0,0000	11,0000	8587,3047	24/04/2026	29928,58	13885,67	2356,21	10852,83	0,000000	1303,2000	0,0000	0,0000	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4569	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	300090.0004	BANCO VOLTA TRIANGULO CT BC VERNIZ	301	VOLTA	8,0000	0,0000	3,0000	38196,3800	24/04/2026	46103,03	21389,97	3869,68	17823,96	0,000000	6369,5646	0,0000	1279,3450	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4569	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	300132.0003	BANCO JASPER CT BC VERNIZ	301	JASPER	1,0000	0,0000	1,0000	7647,2500	24/04/2026	1153,78	535,31	96,84	446,06	0,000000	1042,3544	0,0000	123,6000	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4569	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	100054.0008	LUMINARIA TOSCANA 3MT CZ R7001 FOSC MICR	107	TOSCANA	1,0000	0,0000	1,0000	5714,2857	24/04/2026	905,25	420,00	71,27	328,27	0,000000	867,0800	0,0000	0,0000	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4569	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	100234.0004	LUMINARIA STELLA T 4M DUPLA CINZA R7001	107	STELLA	22,0000	0,0000	10,0000	6909,7047	24/04/2026	24081,79	11172,99	1895,90	8732,64	0,000000	2040,4824	0,0000	0,0000	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4569	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	100224.0004	LUMINARIA STELLA L 4 MT CZ 7001 FM SIMPLES	107	STELLA	17,0000	0,0000	10,0000	4797,7047	24/04/2026	12920,79	5994,73	1017,22	4685,39	0,000000	0,0000	0,0000	0,0000	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
19/02/2026	4571	FUNDO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E URBANIZACAO	200071.0008	BANCO YOO PARA MESA DE JOGOS CZ 7012 FM MAD REFL CASTA DECK	201	YOO	2,0000	0,0000	2,0000	1179,6610	30/03/2026	367,53	170,52	29,58	136,26	0,000000	248,1225	0,0000	0,0000	AL	ESCRITEC COMERCIO E SERVICOS LTDA	19/11/2024	ORGAO PUBLICO MUNICIPAL
