Data de emissão	Pedido	Razão social (Nome) - Cliente (Pedido)	Item	Descrição do item	Subgrupo (Código) - Item	Descrição - Família de itens (Item)	Qtde. solicitada	Qtde. cancelada	Qtde. faturada	Valor unitário	Data de previsão de faturamento - Pedido	Impostos dos itens dos pedidos - Valor ICMS destinatário	Valor do ICMS - Impostos dos itens dos pedidos	Valor do PIS - Impostos dos itens dos pedidos	Valor de COFINS - Impostos dos itens dos pedidos	Preço de custo - Item	Custo de matéria-prima - Item	Item - Gastos gerais de fabricação	Custo da mão de obra - Item	Cliente - Estado (Sigla)	Representante - Razão social (Representante)	Cliente - Data de cadastro	Família de clientes
24/02/2026	66749	METALCO DO BRASIL LTDA	501509.0003	ASSENTO BANCO 2DW MAD REFL IN UV GLAS	31	ITENS ESPECIAIS	5,0000	0,0000	5,0000	840,6029	06/03/2026	0,00	504,37	61,03	281,10	0,000000	169,4400	58,1605	84,2775	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
24/02/2026	66751	METALCO DO BRASIL LTDA	502076.0002	LETTERE T 1300 VM 3003 FM	40	ITENS ESPECIAIS	1,0000	0,0000	1,0000	771,3731	27/03/2026	0,00	92,57	11,20	51,59	0,000000	157,4531	120,4000	99,1460	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
24/02/2026	66751	METALCO DO BRASIL LTDA	502077.0002	LETTERE I MIN. 1300 VM 3003 FM	40	ITENS ESPECIAIS	1,0000	0,0000	1,0000	757,7436	27/03/2026	0,00	90,93	11,00	50,68	0,000000	133,9870	111,2000	123,9600	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
24/02/2026	66751	METALCO DO BRASIL LTDA	502078.0002	LETTERE M 1300 VM 3003 FM	40	ITENS ESPECIAIS	1,0000	0,0000	1,0000	1722,2894	27/03/2026	0,00	206,68	25,01	115,19	0,000000	387,1465	298,0000	162,2100	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
24/02/2026	66749	METALCO DO BRASIL LTDA	600473.0001	SOMBREAMENTO PETALS GR 7016 FM	37	PETALS	1,0000	0,0000	1,0000	19563,9132	06/03/2026	0,00	2347,69	284,07	1308,43	0,000000	4773,7117	3889,8600	1657,6031	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
25/02/2026	66770	D E H COMERCIO DE PERSIANAS LTDA	600275.0007	BANCO LENA WA - 1200 GR R7016 FOSC MICR MAD REFL CASTA DECK PERSON HOR	21	LENA	4,0000	0,0000	0,0000	1174,1800	24/04/2026	0,00	328,77	72,07	331,96	0,000000	339,6852	139,5212	138,7831	PB	D E H COMERCIO DE PERSIANAS LTDA	11/07/2024	DISTRIBUIDOR AUTORIZADO BLACK
25/02/2026	66770	D E H COMERCIO DE PERSIANAS LTDA	600101.0039	BANCO LENA S - CURVO 45 GRAUS VD 6005 FM HORTUS VD 6005 FM	21	LENA	5,0000	0,0000	0,0000	1881,3760	24/04/2026	0,00	658,48	144,35	664,88	0,000000	467,0638	470,0000	237,4594	PB	D E H COMERCIO DE PERSIANAS LTDA	11/07/2024	DISTRIBUIDOR AUTORIZADO BLACK
25/02/2026	66771	METALCO DO BRASIL LTDA	501437.0001	TOTEM SMART ENERGY MADEIRA REFLORESTAMENTO CASTANHO DECK	23	ITENS ESPECIAIS	2,0000	0,0000	0,0000	11718,0125	16/04/2026	0,00	2812,35	340,29	1567,40	0,000000	3495,4912	1389,0184	844,6623	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
25/02/2026	66772	METALCO DO BRASIL LTDA	502035.0001	PE BANCO MALY PERSONALIZADO GIARDINO BELA VISTA GR 7016 FM	21	ITENS ESPECIAIS	8,0000	0,0000	8,0000	190,5817	30/03/2026	0,00	182,96	22,14	101,97	0,000000	51,4857	29,2000	13,2950	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
25/02/2026	66772	METALCO DO BRASIL LTDA	502036.0001	PE BANCO MALY PERSONALIZADO GRUPO SANTA EMILIA GR 7016 FM	21	ITENS ESPECIAIS	8,0000	0,0000	8,0000	96,5824	30/03/2026	0,00	92,72	11,22	51,68	0,000000	6,2069	28,8000	12,0770	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
25/02/2026	66773	METALCO DO BRASIL LTDA	500930	CONJ MESA RETANG C/BANCOS FIXOS ARCOS DOURADOS C/FURO P/OMBRE (901987)	36	ITENS ESPECIAIS	2,0000	0,0000	0,0000	2808,2435	23/04/2026	0,00	673,99	81,55	375,63	0,000000	908,9460	282,6227	150,7300	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
25/02/2026	66774	METALCO DO BRASIL LTDA	500930	CONJ MESA RETANG C/BANCOS FIXOS ARCOS DOURADOS C/FURO P/OMBRE (901987)	36	ITENS ESPECIAIS	2,0000	0,0000	0,0000	2808,2435	24/04/2026	0,00	673,99	81,55	375,63	0,000000	908,9460	282,6227	150,7300	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
25/02/2026	66775	METALCO DO BRASIL LTDA	500456	FLANGE SAPATA STONE FIBRA (904507)	31	ITENS ESPECIAIS	4,0000	0,0000	0,0000	0,8615	24/04/2026	0,00	0,41	0,05	0,23	0,000000	0,0000	0,0000	0,4200	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
25/02/2026	66776	METALCO DO BRASIL LTDA	500456	FLANGE SAPATA STONE FIBRA (904507)	31	ITENS ESPECIAIS	4,0000	0,0000	4,0000	0,8615	20/03/2026	0,00	0,41	0,05	0,23	0,000000	0,0000	0,0000	0,4200	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
25/02/2026	66767	METALCO DO BRASIL LTDA	501435.0009	CONJUNTO METALICO ARO LIXEIRA DOHA CZ 9007 FM	31	ITENS ESPECIAIS	38,0000	0,0000	38,0000	109,7598	23/03/2026	0,00	500,51	60,56	278,95	0,000000	9,0164	24,8150	19,4229	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
25/02/2026	66768	METALCO DO BRASIL LTDA	501411.0001	ASSENTO MADEIRA VENEZIA MAD REFL CASTA DECK	31	ITENS ESPECIAIS	1,0000	0,0000	1,0000	427,9799	13/04/2026	0,00	51,36	6,21	28,62	0,000000	99,0613	31,5137	76,1600	RS	2F IND, COM, IMPORT, EXPORT E REPRESENTACOES LTDA	31/03/2014	OUTRAS INDUSTRIAS
